
Step :69, avg score : -0.00702231889590621, avg_cover_radius :  91.30, avg_sent_package:  44.44
Step :70, avg score : -0.00740660447627306, avg_cover_radius :  91.62, avg_sent_package:  43.18
Step :71, avg score : -0.0074676102958619595, avg_cover_radius :  91.29, avg_sent_package:  46.94
Step :72, avg score : -0.009945301339030266, avg_cover_radius :  90.89, avg_sent_package:  53.49
Step :73, avg score : -0.012821290642023087, avg_cover_radius :  89.15, avg_sent_package:  58.97
Step :74, avg score : -0.008815677836537361, avg_cover_radius :  87.74, avg_sent_package:  50.00
Step :75, avg score : -0.007434135302901268, avg_cover_radius :  86.99, avg_sent_package:  34.88
Step :76, avg score : -0.008756294846534729, avg_cover_radius :  85.53, avg_sent_package:  50.98
Step :77, avg score : -0.0068592592142522335, avg_cover_radius :  85.30, avg_sent_package:  42.59
Step :78, avg score : -0.008919802494347095, avg_cover_radius :  85.86, avg_sent_package:  46.51
Step :79, avg score : -0.007546691223978996, avg_cover_radius :  87.51, avg_sent_package:  51.79
Step :80, avg score : -0.008126637898385525, avg_cover_radius :  87.14, avg_sent_package:  39.47
Step :81, avg score : -0.012597056105732918, avg_cover_radius :  88.15, avg_sent_package:  60.00
Step :82, avg score : -0.00836744625121355, avg_cover_radius :  87.74, avg_sent_package:  53.85
Step :83, avg score : -0.010343478992581367, avg_cover_radius :  86.11, avg_sent_package:  55.81
Step :84, avg score : -0.013963261619210243, avg_cover_radius :  87.14, avg_sent_package:  57.58
Step :85, avg score : -0.01199063379317522, avg_cover_radius :  84.85, avg_sent_package:  52.78
Step :86, avg score : -0.0071021695621311665, avg_cover_radius :  85.50, avg_sent_package:  36.17
Step :87, avg score : -0.007878494448959827, avg_cover_radius :  85.08, avg_sent_package:  46.15
Step :88, avg score : -0.00803518109023571, avg_cover_radius :  83.86, avg_sent_package:  46.00
Step :89, avg score : -0.00965039525181055, avg_cover_radius :  86.91, avg_sent_package:  48.84
Step :90, avg score : -0.009701663628220558, avg_cover_radius :  85.52, avg_sent_package:  46.15
Step :91, avg score : -0.007071290165185928, avg_cover_radius :  84.72, avg_sent_package:  33.33
Step :92, avg score : -0.009854761883616447, avg_cover_radius :  84.83, avg_sent_package:  45.00
Step :93, avg score : -0.010843019001185894, avg_cover_radius :  83.99, avg_sent_package:  44.44
Step :94, avg score : -0.008822409436106682, avg_cover_radius :  85.90, avg_sent_package:  50.00
Step :95, avg score : -0.008854585699737072, avg_cover_radius :  87.46, avg_sent_package:  45.45
Step :96, avg score : -0.008213448338210583, avg_cover_radius :  89.43, avg_sent_package:  53.57
Step :97, avg score : -0.009697829373180866, avg_cover_radius :  87.44, avg_sent_package:  60.78
Step :98, avg score : -0.008252935484051704, avg_cover_radius :  86.65, avg_sent_package:  46.34
Step :99, avg score : -0.011471332982182503, avg_cover_radius :  86.91, avg_sent_package:  62.22
Step :100, avg score : -0.007864482700824738, avg_cover_radius :  87.68, avg_sent_package:  50.00
Step :101, avg score : -0.009498845785856247, avg_cover_radius :  87.73, avg_sent_package:  47.37
Step :102, avg score : -0.010081131011247635, avg_cover_radius :  87.85, avg_sent_package:  44.44
Step :103, avg score : -0.008508495055139065, avg_cover_radius :  87.77, avg_sent_package:  44.44
Step :104, avg score : -0.012797705829143524, avg_cover_radius :  86.81, avg_sent_package:  58.54
Step :105, avg score : -0.014691793359816074, avg_cover_radius :  86.36, avg_sent_package:  54.55
Step :106, avg score : -0.013253405690193176, avg_cover_radius :  82.90, avg_sent_package:  48.48
Step :107, avg score : -0.011207719333469868, avg_cover_radius :  82.70, avg_sent_package:  41.67
Step :108, avg score : -0.015000755898654461, avg_cover_radius :  79.79, avg_sent_package:  48.39
Step :109, avg score : -0.015329784713685513, avg_cover_radius :  77.90, avg_sent_package:  56.76
Step :110, avg score : -0.01071494072675705, avg_cover_radius :  76.19, avg_sent_package:  43.90
Step :111, avg score : -0.008584338240325451, avg_cover_radius :  76.16, avg_sent_package:  30.95
Step :112, avg score : -0.015845514833927155, avg_cover_radius :  77.09, avg_sent_package:  62.79
Step :113, avg score : -0.013646282255649567, avg_cover_radius :  79.59, avg_sent_package:  58.54
Step :114, avg score : -0.008895739912986755, avg_cover_radius :  78.52, avg_sent_package:  43.18
Step :115, avg score : -0.009144073352217674, avg_cover_radius :  81.01, avg_sent_package:  41.46
Step :116, avg score : -0.0068660820834338665, avg_cover_radius :  84.78, avg_sent_package:  42.86
Step :117, avg score : -0.009063560515642166, avg_cover_radius :  86.45, avg_sent_package:  51.06
Step :118, avg score : -0.013006624765694141, avg_cover_radius :  89.31, avg_sent_package:  65.96
Step :119, avg score : -0.006428460590541363, avg_cover_radius :  88.49, avg_sent_package:  48.28
Step :120, avg score : -0.007743207272142172, avg_cover_radius :  90.03, avg_sent_package:  52.00
Step :121, avg score : -0.008776938542723656, avg_cover_radius :  87.10, avg_sent_package:  40.00
Step :122, avg score : -0.008578029461205006, avg_cover_radius :  87.31, avg_sent_package:  35.14
Step :123, avg score : -0.008358723483979702, avg_cover_radius :  87.70, avg_sent_package:  40.91
Step :124, avg score : -0.008103661239147186, avg_cover_radius :  87.87, avg_sent_package:  34.15
Step :125, avg score : -0.011684488505125046, avg_cover_radius :  87.10, avg_sent_package:  55.56
Step :126, avg score : -0.008372337557375431, avg_cover_radius :  85.98, avg_sent_package:  47.06
Step :127, avg score : -0.00846058875322342, avg_cover_radius :  83.46, avg_sent_package:  50.00
Step :128, avg score : -0.009639359079301357, avg_cover_radius :  84.96, avg_sent_package:  45.00
Step :129, avg score : -0.007177216932177544, avg_cover_radius :  82.86, avg_sent_package:  30.23
Step :130, avg score : -0.01102384552359581, avg_cover_radius :  82.83, avg_sent_package:  44.74
Step :131, avg score : -0.010414211079478264, avg_cover_radius :  83.35, avg_sent_package:  51.11
Step :132, avg score : -0.007160224486142397, avg_cover_radius :  86.28, avg_sent_package:  46.55
Step :133, avg score : -0.007419518195092678, avg_cover_radius :  88.48, avg_sent_package:  47.17
Step :134, avg score : -0.007847089320421219, avg_cover_radius :  86.04, avg_sent_package:  34.21
Step :135, avg score : -0.014315017499029636, avg_cover_radius :  85.32, avg_sent_package:  66.67
Step :136, avg score : -0.00980805791914463, avg_cover_radius :  83.06, avg_sent_package:  52.27
Step :137, avg score : -0.011548017151653767, avg_cover_radius :  85.23, avg_sent_package:  53.85
Step :138, avg score : -0.010629597119987011, avg_cover_radius :  86.45, avg_sent_package:  54.55
Step :139, avg score : -0.006953575648367405, avg_cover_radius :  85.89, avg_sent_package:  41.18
Step :140, avg score : -0.010012472979724407, avg_cover_radius :  85.45, avg_sent_package:  50.00
Step :141, avg score : -0.012362198904156685, avg_cover_radius :  85.51, avg_sent_package:  54.05
Step :142, avg score : -0.009898990392684937, avg_cover_radius :  83.87, avg_sent_package:  45.00
Step :143, avg score : -0.010616449639201164, avg_cover_radius :  86.50, avg_sent_package:  56.25
Step :144, avg score : -0.006453367415815592, avg_cover_radius :  83.09, avg_sent_package:  29.79
Step :145, avg score : -0.013322961516678333, avg_cover_radius :  82.06, avg_sent_package:  59.52
Step :146, avg score : -0.012315808795392513, avg_cover_radius :  82.14, avg_sent_package:  50.00
Step :147, avg score : -0.008259273134171963, avg_cover_radius :  82.05, avg_sent_package:  39.13
Step :148, avg score : -0.009574415162205696, avg_cover_radius :  83.86, avg_sent_package:  54.55
Step :149, avg score : -0.008958067744970322, avg_cover_radius :  83.56, avg_sent_package:  47.83
Step :150, avg score : -0.007630523759871721, avg_cover_radius :  84.57, avg_sent_package:  50.00
Step :151, avg score : -0.009917447343468666, avg_cover_radius :  84.39, avg_sent_package:  45.95
Step :152, avg score : -0.01006227731704712, avg_cover_radius :  83.42, avg_sent_package:  51.16
Step :153, avg score : -0.010803692042827606, avg_cover_radius :  83.84, avg_sent_package:  47.37
Step :154, avg score : -0.009382489137351513, avg_cover_radius :  82.99, avg_sent_package:  42.86
Step :155, avg score : -0.014361170120537281, avg_cover_radius :  84.70, avg_sent_package:  62.79
Step :156, avg score : -0.007525326684117317, avg_cover_radius :  86.10, avg_sent_package:  46.30
Step :157, avg score : -0.010619002394378185, avg_cover_radius :  86.95, avg_sent_package:  63.46
Step :158, avg score : -0.008245062083005905, avg_cover_radius :  88.78, avg_sent_package:  53.06
Step :159, avg score : -0.009628969244658947, avg_cover_radius :  87.87, avg_sent_package:  48.65
Step :160, avg score : -0.009365938603878021, avg_cover_radius :  87.26, avg_sent_package:  47.50
Step :161, avg score : -0.009951809421181679, avg_cover_radius :  86.10, avg_sent_package:  43.24
Step :162, avg score : -0.008881742134690285, avg_cover_radius :  85.67, avg_sent_package:  44.44
Step :163, avg score : -0.011442420072853565, avg_cover_radius :  85.50, avg_sent_package:  51.28
Step :164, avg score : -0.014336426742374897, avg_cover_radius :  84.23, avg_sent_package:  54.55
Step :165, avg score : -0.009377173148095608, avg_cover_radius :  85.85, avg_sent_package:  45.45
Step :166, avg score : -0.0111002866178751, avg_cover_radius :  84.41, avg_sent_package:  53.49
Step :167, avg score : -0.008113870397210121, avg_cover_radius :  86.12, avg_sent_package:  55.00
Step :168, avg score : -0.006851549260318279, avg_cover_radius :  89.08, avg_sent_package:  44.23
Step :169, avg score : -0.005425220355391502, avg_cover_radius :  87.35, avg_sent_package:  30.77
Step :170, avg score : -0.008777032606303692, avg_cover_radius :  87.25, avg_sent_package:  56.36
Step :171, avg score : -0.011948872357606888, avg_cover_radius :  85.11, avg_sent_package:  57.89
Step :172, avg score : -0.013991743326187134, avg_cover_radius :  86.04, avg_sent_package:  65.85
Step :173, avg score : -0.009345241822302341, avg_cover_radius :  85.75, avg_sent_package:  44.74
Step :174, avg score : -0.00790689792484045, avg_cover_radius :  86.90, avg_sent_package:  49.06
Step :175, avg score : -0.009646046906709671, avg_cover_radius :  88.10, avg_sent_package:  51.11
Step :176, avg score : -0.00960328709334135, avg_cover_radius :  84.51, avg_sent_package:  46.34
Step :177, avg score : -0.010861003771424294, avg_cover_radius :  83.86, avg_sent_package:  57.45
Step :178, avg score : -0.009584634564816952, avg_cover_radius :  82.71, avg_sent_package:  46.34
Step :179, avg score : -0.011031455360352993, avg_cover_radius :  82.27, avg_sent_package:  45.95
Step :180, avg score : -0.010449742898344994, avg_cover_radius :  81.65, avg_sent_package:  52.17
Step :181, avg score : -0.012367120943963528, avg_cover_radius :  82.02, avg_sent_package:  58.14
Step :182, avg score : -0.009927351959049702, avg_cover_radius :  80.58, avg_sent_package:  45.00
Step :183, avg score : -0.0086124949157238, avg_cover_radius :  81.82, avg_sent_package:  43.75
Step :184, avg score : -0.009830806404352188, avg_cover_radius :  84.17, avg_sent_package:  54.90
Step :185, avg score : -0.011700554750859737, avg_cover_radius :  83.80, avg_sent_package:  60.00
Step :186, avg score : -0.012606685981154442, avg_cover_radius :  82.99, avg_sent_package:  57.89
Step :187, avg score : -0.007779198698699474, avg_cover_radius :  84.29, avg_sent_package:  37.21
Step :188, avg score : -0.009990746155381203, avg_cover_radius :  84.71, avg_sent_package:  55.10
Step :189, avg score : -0.006376819219440222, avg_cover_radius :  83.07, avg_sent_package:  28.26
Step :190, avg score : -0.009898172691464424, avg_cover_radius :  81.99, avg_sent_package:  41.03
Step :191, avg score : -0.012390525080263615, avg_cover_radius :  83.25, avg_sent_package:  51.28
Step :192, avg score : -0.010688044130802155, avg_cover_radius :  81.73, avg_sent_package:  42.11
Step :193, avg score : -0.009221753105521202, avg_cover_radius :  82.57, avg_sent_package:  42.22
Step :194, avg score : -0.010572671890258789, avg_cover_radius :  82.44, avg_sent_package:  45.00
Step :195, avg score : -0.010091922245919704, avg_cover_radius :  80.65, avg_sent_package:  53.06
Step :196, avg score : -0.008594031445682049, avg_cover_radius :  82.36, avg_sent_package:  45.83
Step :197, avg score : -0.013926801271736622, avg_cover_radius :  81.31, avg_sent_package:  60.53
Step :198, avg score : -0.011971691623330116, avg_cover_radius :  84.04, avg_sent_package:  58.14
Step :199, avg score : -0.010388126596808434, avg_cover_radius :  87.11, avg_sent_package:  47.37
Step :200, avg score : -0.007412449456751347, avg_cover_radius :  86.62, avg_sent_package:  40.43
Step :201, avg score : -0.00762756634503603, avg_cover_radius :  88.50, avg_sent_package:  52.54
Step :202, avg score : -0.009351982735097408, avg_cover_radius :  88.57, avg_sent_package:  61.82
Step :203, avg score : -0.0084076514467597, avg_cover_radius :  88.76, avg_sent_package:  53.06
Step :204, avg score : -0.010555021464824677, avg_cover_radius :  88.22, avg_sent_package:  59.09
Step :205, avg score : -0.007591603323817253, avg_cover_radius :  88.00, avg_sent_package:  53.70
Step :206, avg score : -0.009008394554257393, avg_cover_radius :  88.83, avg_sent_package:  47.50
Step :207, avg score : -0.010526039637625217, avg_cover_radius :  88.78, avg_sent_package:  55.81
Step :208, avg score : -0.008835386484861374, avg_cover_radius :  87.98, avg_sent_package:  47.62
Step :209, avg score : -0.009952160529792309, avg_cover_radius :  88.50, avg_sent_package:  56.52
Step :210, avg score : -0.006917739752680063, avg_cover_radius :  90.14, avg_sent_package:  50.00
Step :211, avg score : -0.008580709807574749, avg_cover_radius :  90.70, avg_sent_package:  60.00
Step :212, avg score : -0.0077353972010314465, avg_cover_radius :  90.10, avg_sent_package:  43.90
Step :213, avg score : -0.006896447390317917, avg_cover_radius :  89.67, avg_sent_package:  45.10
Step :214, avg score : -0.009997520595788956, avg_cover_radius :  87.01, avg_sent_package:  54.55
Step :215, avg score : -0.010887650772929192, avg_cover_radius :  86.45, avg_sent_package:  51.28
Step :216, avg score : -0.01049778237938881, avg_cover_radius :  84.49, avg_sent_package:  45.95
Step :217, avg score : -0.00872503686696291, avg_cover_radius :  85.59, avg_sent_package:  45.65
Step :218, avg score : -0.011546806432306767, avg_cover_radius :  85.75, avg_sent_package:  52.63
Step :219, avg score : -0.01248836237937212, avg_cover_radius :  82.92, avg_sent_package:  46.88
Step :220, avg score : -0.015698634088039398, avg_cover_radius :  84.01, avg_sent_package:  60.00
Step :221, avg score : -0.008806065656244755, avg_cover_radius :  83.42, avg_sent_package:  46.81
Step :222, avg score : -0.011036747135221958, avg_cover_radius :  82.30, avg_sent_package:  51.28
Step :223, avg score : -0.007669742684811354, avg_cover_radius :  85.24, avg_sent_package:  41.67
Step :224, avg score : -0.009259306825697422, avg_cover_radius :  83.42, avg_sent_package:  31.25
Step :225, avg score : -0.013162963092327118, avg_cover_radius :  85.47, avg_sent_package:  60.47
Step :226, avg score : -0.014765260741114616, avg_cover_radius :  84.92, avg_sent_package:  58.82
Step :227, avg score : -0.010776899755001068, avg_cover_radius :  84.58, avg_sent_package:  50.00
Step :228, avg score : -0.011560328304767609, avg_cover_radius :  84.82, avg_sent_package:  53.66
Step :229, avg score : -0.008509916253387928, avg_cover_radius :  84.10, avg_sent_package:  46.94
Step :230, avg score : -0.009080953896045685, avg_cover_radius :  84.95, avg_sent_package:  57.89
Step :231, avg score : -0.006324999500066042, avg_cover_radius :  83.92, avg_sent_package:  43.86
Step :232, avg score : -0.010621384717524052, avg_cover_radius :  84.60, avg_sent_package:  54.76
Step :233, avg score : -0.012432144023478031, avg_cover_radius :  84.91, avg_sent_package:  60.00
Step :234, avg score : -0.010955934412777424, avg_cover_radius :  84.93, avg_sent_package:  59.09
Step :235, avg score : -0.00864425953477621, avg_cover_radius :  86.76, avg_sent_package:  53.06
Step :236, avg score : -0.012779089622199535, avg_cover_radius :  87.98, avg_sent_package:  62.50
Step :237, avg score : -0.006782012991607189, avg_cover_radius :  88.82, avg_sent_package:  37.78
Step :238, avg score : -0.007266513537615538, avg_cover_radius :  87.95, avg_sent_package:  46.15
Step :239, avg score : -0.007922349497675896, avg_cover_radius :  88.52, avg_sent_package:  50.00
Step :240, avg score : -0.007987810298800468, avg_cover_radius :  88.62, avg_sent_package:  45.65
Step :241, avg score : -0.012856454588472843, avg_cover_radius :  88.07, avg_sent_package:  58.97
Step :242, avg score : -0.010487986728549004, avg_cover_radius :  86.64, avg_sent_package:  45.71
Step :243, avg score : -0.010723709128797054, avg_cover_radius :  86.17, avg_sent_package:  39.39
Step :244, avg score : -0.012656187638640404, avg_cover_radius :  82.98, avg_sent_package:  55.00
Step :245, avg score : -0.009071797132492065, avg_cover_radius :  86.44, avg_sent_package:  50.00
Step :246, avg score : -0.008154441602528095, avg_cover_radius :  88.44, avg_sent_package:  47.92
Step :247, avg score : -0.009747335687279701, avg_cover_radius :  87.88, avg_sent_package:  43.24
Step :248, avg score : -0.010942785069346428, avg_cover_radius :  85.12, avg_sent_package:  52.38
Step :249, avg score : -0.011602011509239674, avg_cover_radius :  82.79, avg_sent_package:  48.65
Step :250, avg score : -0.009522492997348309, avg_cover_radius :  80.16, avg_sent_package:  36.84
Step :251, avg score : -0.009795142337679863, avg_cover_radius :  82.88, avg_sent_package:  46.67
Step :252, avg score : -0.007230063434690237, avg_cover_radius :  82.59, avg_sent_package:  34.69
Step :253, avg score : -0.006563832983374596, avg_cover_radius :  84.71, avg_sent_package:  41.27
Step :254, avg score : -0.007247305475175381, avg_cover_radius :  84.08, avg_sent_package:  47.46
Step :255, avg score : -0.014716136269271374, avg_cover_radius :  82.00, avg_sent_package:  60.00
Step :256, avg score : -0.010161708109080791, avg_cover_radius :  83.18, avg_sent_package:  46.15
Step :257, avg score : -0.008977439254522324, avg_cover_radius :  83.88, avg_sent_package:  47.83
Step :258, avg score : -0.008198289200663567, avg_cover_radius :  82.35, avg_sent_package:  35.00
Step :259, avg score : -0.013776937499642372, avg_cover_radius :  83.17, avg_sent_package:  55.56
Step :260, avg score : -0.015540377236902714, avg_cover_radius :  84.82, avg_sent_package:  62.16
Step :261, avg score : -0.008566273376345634, avg_cover_radius :  83.92, avg_sent_package:  42.22
Step :262, avg score : -0.008221348747611046, avg_cover_radius :  82.52, avg_sent_package:  45.10
Step :263, avg score : -0.009700545109808445, avg_cover_radius :  80.87, avg_sent_package:  41.03
Step :264, avg score : -0.013992227613925934, avg_cover_radius :  83.16, avg_sent_package:  66.67
Step :265, avg score : -0.010782051831483841, avg_cover_radius :  82.89, avg_sent_package:  54.76
Step :266, avg score : -0.010824806988239288, avg_cover_radius :  84.96, avg_sent_package:  55.81
Step :267, avg score : -0.014104009605944157, avg_cover_radius :  87.78, avg_sent_package:  68.89
Step :268, avg score : -0.009366203099489212, avg_cover_radius :  88.24, avg_sent_package:  54.55
Step :269, avg score : -0.009632433764636517, avg_cover_radius :  88.49, avg_sent_package:  57.45
Step :270, avg score : -0.008314433507621288, avg_cover_radius :  88.81, avg_sent_package:  40.54
Step :271, avg score : -0.007938901893794537, avg_cover_radius :  90.02, avg_sent_package:  32.43
Step :272, avg score : -0.009750831872224808, avg_cover_radius :  90.37, avg_sent_package:  48.84
Step :273, avg score : -0.007747417315840721, avg_cover_radius :  90.74, avg_sent_package:  49.09
Step :274, avg score : -0.008010897785425186, avg_cover_radius :  88.96, avg_sent_package:  50.00
Step :275, avg score : -0.01187935657799244, avg_cover_radius :  87.80, avg_sent_package:  56.41
Step :276, avg score : -0.00980308186262846, avg_cover_radius :  86.48, avg_sent_package:  47.50
Step :277, avg score : -0.007156399078667164, avg_cover_radius :  83.72, avg_sent_package:  38.00
Step :278, avg score : -0.007254732307046652, avg_cover_radius :  82.69, avg_sent_package:  38.00
Step :279, avg score : -0.008204439654946327, avg_cover_radius :  83.29, avg_sent_package:  41.67
Step :280, avg score : -0.012989958748221397, avg_cover_radius :  83.50, avg_sent_package:  50.00
Step :281, avg score : -0.013421342708170414, avg_cover_radius :  84.89, avg_sent_package:  58.54
Step :282, avg score : -0.016613835468888283, avg_cover_radius :  84.95, avg_sent_package:  64.86
Step :283, avg score : -0.011796996928751469, avg_cover_radius :  82.49, avg_sent_package:  55.00
Step :284, avg score : -0.011555461212992668, avg_cover_radius :  83.52, avg_sent_package:  56.82
Step :285, avg score : -0.00957946665585041, avg_cover_radius :  81.54, avg_sent_package:  38.89
Step :286, avg score : -0.00808990839868784, avg_cover_radius :  84.48, avg_sent_package:  53.33
Step :287, avg score : -0.007667217403650284, avg_cover_radius :  85.98, avg_sent_package:  43.48
Step :288, avg score : -0.011262883432209492, avg_cover_radius :  86.06, avg_sent_package:  55.00
Step :289, avg score : -0.007549055386334658, avg_cover_radius :  86.44, avg_sent_package:  47.17
Step :290, avg score : -0.010441398248076439, avg_cover_radius :  84.89, avg_sent_package:  50.00
Step :291, avg score : -0.013665271922945976, avg_cover_radius :  82.05, avg_sent_package:  51.52
Step :292, avg score : -0.02020823210477829, avg_cover_radius :  80.29, avg_sent_package:  57.69
Step :293, avg score : -0.010463899001479149, avg_cover_radius :  79.83, avg_sent_package:  39.47
Step :294, avg score : -0.009542480111122131, avg_cover_radius :  81.22, avg_sent_package:  49.02
Step :295, avg score : -0.009782056324183941, avg_cover_radius :  79.63, avg_sent_package:  41.46
Step :296, avg score : -0.00916147232055664, avg_cover_radius :  79.63, avg_sent_package:  46.94
Step :297, avg score : -0.00892196036875248, avg_cover_radius :  82.80, avg_sent_package:  43.48
Step :298, avg score : -0.005897128954529762, avg_cover_radius :  81.30, avg_sent_package:  31.48
Step :299, avg score : -0.009791661985218525, avg_cover_radius :  80.51, avg_sent_package:  43.90
Step :300, avg score : -0.01133380550891161, avg_cover_radius :  84.06, avg_sent_package:  47.37
Step :301, avg score : -0.016443926841020584, avg_cover_radius :  87.11, avg_sent_package:  69.77
Step :302, avg score : -0.009736554697155952, avg_cover_radius :  87.32, avg_sent_package:  54.55
Step :303, avg score : -0.00847721379250288, avg_cover_radius :  85.49, avg_sent_package:  41.03
