Step :71, avg score : -99.52001953125, avg_cover_radius :  89.77, avg_sent_package:  58.70
Step :72, avg score : -83.35344696044922, avg_cover_radius :  90.09, avg_sent_package:  51.06
Step :73, avg score : -87.10594940185547, avg_cover_radius :  89.82, avg_sent_package:  45.00
Step :74, avg score : -112.27803039550781, avg_cover_radius :  89.78, avg_sent_package:  52.63
Step :75, avg score : -118.26544952392578, avg_cover_radius :  89.53, avg_sent_package:  53.85
Step :76, avg score : -149.40049743652344, avg_cover_radius :  89.44, avg_sent_package:  61.11
Step :77, avg score : -103.99713134765625, avg_cover_radius :  88.49, avg_sent_package:  47.50
Step :78, avg score : -76.09180450439453, avg_cover_radius :  89.45, avg_sent_package:  42.00
Step :79, avg score : -99.4157485961914, avg_cover_radius :  86.10, avg_sent_package:  42.11
Step :80, avg score : -136.4007568359375, avg_cover_radius :  84.34, avg_sent_package:  50.00
Step :81, avg score : -84.10140991210938, avg_cover_radius :  83.50, avg_sent_package:  36.36
Step :82, avg score : -116.72312927246094, avg_cover_radius :  82.70, avg_sent_package:  43.24
Step :83, avg score : -119.78876495361328, avg_cover_radius :  81.66, avg_sent_package:  50.00
Step :84, avg score : -84.92218780517578, avg_cover_radius :  81.57, avg_sent_package:  38.78
Step :85, avg score : -109.94900512695312, avg_cover_radius :  80.77, avg_sent_package:  47.73
Step :86, avg score : -73.88121032714844, avg_cover_radius :  80.51, avg_sent_package:  40.35
Step :87, avg score : -108.55597686767578, avg_cover_radius :  82.75, avg_sent_package:  55.10
Step :88, avg score : -124.08041381835938, avg_cover_radius :  80.54, avg_sent_package:  55.00
Step :89, avg score : -100.79737091064453, avg_cover_radius :  83.66, avg_sent_package:  54.90
Step :90, avg score : -115.39480590820312, avg_cover_radius :  85.80, avg_sent_package:  58.14
Step :91, avg score : -87.01820373535156, avg_cover_radius :  87.83, avg_sent_package:  50.00
Step :92, avg score : -87.48837280273438, avg_cover_radius :  90.00, avg_sent_package:  61.67
Step :93, avg score : -111.55388641357422, avg_cover_radius :  90.25, avg_sent_package:  61.90
Step :94, avg score : -97.46896362304688, avg_cover_radius :  90.60, avg_sent_package:  55.81
Step :95, avg score : -87.12837982177734, avg_cover_radius :  90.41, avg_sent_package:  48.84
Step :96, avg score : -72.46106719970703, avg_cover_radius :  89.93, avg_sent_package:  45.10
Step :97, avg score : -77.9769287109375, avg_cover_radius :  90.67, avg_sent_package:  42.22
Step :98, avg score : -111.53106689453125, avg_cover_radius :  91.50, avg_sent_package:  60.42
Step :99, avg score : -78.07242584228516, avg_cover_radius :  91.28, avg_sent_package:  45.83
Step :100, avg score : -98.54234313964844, avg_cover_radius :  90.55, avg_sent_package:  48.78
Step :101, avg score : -110.09404754638672, avg_cover_radius :  89.02, avg_sent_package:  52.38
Step :102, avg score : -105.39432525634766, avg_cover_radius :  88.55, avg_sent_package:  55.32
Step :103, avg score : -79.6568374633789, avg_cover_radius :  87.93, avg_sent_package:  47.06
Step :104, avg score : -101.61917114257812, avg_cover_radius :  87.01, avg_sent_package:  54.35
Step :105, avg score : -87.52566528320312, avg_cover_radius :  84.41, avg_sent_package:  34.21
Step :106, avg score : -130.3265380859375, avg_cover_radius :  85.66, avg_sent_package:  60.00
Step :107, avg score : -73.68934631347656, avg_cover_radius :  83.74, avg_sent_package:  26.19
Step :108, avg score : -182.97177124023438, avg_cover_radius :  83.90, avg_sent_package:  62.86
Step :109, avg score : -83.63861846923828, avg_cover_radius :  81.47, avg_sent_package:  26.32
Step :110, avg score : -108.70166015625, avg_cover_radius :  83.25, avg_sent_package:  45.24
Step :111, avg score : -138.83126831054688, avg_cover_radius :  82.48, avg_sent_package:  57.14
Step :112, avg score : -195.87953186035156, avg_cover_radius :  82.30, avg_sent_package:  61.29
Step :113, avg score : -127.8809585571289, avg_cover_radius :  81.48, avg_sent_package:  47.22
Step :114, avg score : -120.41056060791016, avg_cover_radius :  79.37, avg_sent_package:  46.15
Step :115, avg score : -103.64006805419922, avg_cover_radius :  78.16, avg_sent_package:  46.81
Step :116, avg score : -121.02885437011719, avg_cover_radius :  80.94, avg_sent_package:  55.56
Step :117, avg score : -122.15550231933594, avg_cover_radius :  80.13, avg_sent_package:  50.00
Step :118, avg score : -74.74385833740234, avg_cover_radius :  84.28, avg_sent_package:  40.74
Step :119, avg score : -113.71866607666016, avg_cover_radius :  83.90, avg_sent_package:  52.38
Step :120, avg score : -106.23881530761719, avg_cover_radius :  85.19, avg_sent_package:  52.27
Step :121, avg score : -88.48334503173828, avg_cover_radius :  88.83, avg_sent_package:  50.00
Step :122, avg score : -109.1666259765625, avg_cover_radius :  88.91, avg_sent_package:  58.70
Step :123, avg score : -105.70993041992188, avg_cover_radius :  90.35, avg_sent_package:  61.22
Step :124, avg score : -108.8226318359375, avg_cover_radius :  88.00, avg_sent_package:  48.57
Step :125, avg score : -114.30854034423828, avg_cover_radius :  87.78, avg_sent_package:  56.82
Step :126, avg score : -119.28714752197266, avg_cover_radius :  86.99, avg_sent_package:  48.57
Step :127, avg score : -104.68161010742188, avg_cover_radius :  88.74, avg_sent_package:  56.86
Step :128, avg score : -78.73934173583984, avg_cover_radius :  88.11, avg_sent_package:  41.67
Step :129, avg score : -95.1560287475586, avg_cover_radius :  86.76, avg_sent_package:  42.50
Step :130, avg score : -116.41472625732422, avg_cover_radius :  85.73, avg_sent_package:  53.49
Step :131, avg score : -109.41709899902344, avg_cover_radius :  83.76, avg_sent_package:  43.24
Step :132, avg score : -141.96688842773438, avg_cover_radius :  81.49, avg_sent_package:  51.43
Step :133, avg score : -219.47915649414062, avg_cover_radius :  83.23, avg_sent_package:  67.65
Step :134, avg score : -105.39875793457031, avg_cover_radius :  84.97, avg_sent_package:  47.73
Step :135, avg score : -88.78327941894531, avg_cover_radius :  85.40, avg_sent_package:  46.94
Step :136, avg score : -110.48411560058594, avg_cover_radius :  83.34, avg_sent_package:  47.50
Step :137, avg score : -116.54324340820312, avg_cover_radius :  81.52, avg_sent_package:  45.95
Step :138, avg score : -118.67911529541016, avg_cover_radius :  85.47, avg_sent_package:  55.56
Step :139, avg score : -87.07611083984375, avg_cover_radius :  83.83, avg_sent_package:  49.02
Step :140, avg score : -98.74681091308594, avg_cover_radius :  87.35, avg_sent_package:  52.17
Step :141, avg score : -85.8799819946289, avg_cover_radius :  88.70, avg_sent_package:  40.00
Step :142, avg score : -84.40747833251953, avg_cover_radius :  87.57, avg_sent_package:  40.91
Step :143, avg score : -99.87934875488281, avg_cover_radius :  87.82, avg_sent_package:  48.89
Step :144, avg score : -95.60043334960938, avg_cover_radius :  85.36, avg_sent_package:  42.50
Step :145, avg score : -96.0349349975586, avg_cover_radius :  87.59, avg_sent_package:  46.67
Step :146, avg score : -110.00019836425781, avg_cover_radius :  88.89, avg_sent_package:  58.33
Step :147, avg score : -98.15742492675781, avg_cover_radius :  88.10, avg_sent_package:  50.00
Step :148, avg score : -78.35103607177734, avg_cover_radius :  88.53, avg_sent_package:  47.17
Step :149, avg score : -97.32584381103516, avg_cover_radius :  88.11, avg_sent_package:  55.32
Step :150, avg score : -104.2596435546875, avg_cover_radius :  88.15, avg_sent_package:  45.71
